keyword,store_id,zip_code
cucumbers,,99515
cucumbers,,99577
cucumbers,,99611
cucumbers,,99615
cucumbers,,99654
cucumbers,,99701
cucumbers,,99901
cucumbers,,97060
cucumbers,,98057
detergent,,99503
detergent,,99504
detergent,,99515
detergent,,99577
detergent,,99611
detergent,,99615
detergent,,99654
detergent,,99701
detergent,,99901
detergent,,97060
detergent,,98057
diapers,,99503
diapers,,99504
diapers,,99515
diapers,,99577
diapers,,99611
diapers,,99615
diapers,,99654
diapers,,99701
diapers,,99901
diapers,,97060
diapers,,98057
dip,,99503
dip,,99504
dip,,99515
dip,,99577
dip,,99611
dip,,99615
dip,,99654
dip,,99701
dip,,99901
dip,,97060
dip,,98057
dish soap liquid,,99503
dish soap liquid,,99504
dish soap liquid,,99515
dish soap liquid,,99577
dish soap liquid,,99611
dish soap liquid,,99615
dish soap liquid,,99654
dish soap liquid,,99701
dish soap liquid,,99901
dish soap liquid,,97060
dish soap liquid,,98057
Dressing,,99503
Dressing,,99504
Dressing,,99515
Dressing,,99577
Dressing,,99611
Dressing,,99615
Dressing,,99654
Dressing,,99701
Dressing,,99901
Dressing,,97060
Dressing,,98057
Eggnog,,99503
Eggnog,,99504
Eggnog,,99515
Eggnog,,99577
Eggnog,,99611
Eggnog,,99615
Eggnog,,99654
Eggnog,,99701
Eggnog,,99901
Eggnog,,97060
Eggnog,,98057
eggs,,99503
eggs,,99504
eggs,,99515
eggs,,99577
eggs,,99611
eggs,,99615
eggs,,99654
eggs,,99701
eggs,,99901
eggs,,97060
eggs,,98057
evaporated milk,,99503
evaporated milk,,99504
evaporated milk,,99515
evaporated milk,,99577
evaporated milk,,99611
evaporated milk,,99615
evaporated milk,,99654
evaporated milk,,99701
evaporated milk,,99901
evaporated milk,,97060
evaporated milk,,98057
Fava,,99503
Fava,,99504
Fava,,99515
Fava,,99577
Fava,,99611
Fava,,99615
Fava,,99654
Fava,,99701
Fava,,99901
Fava,,97060
Fava,,98057
Fish,,99503
Fish,,99504
Fish,,99515
Fish,,99577
Fish,,99611
Fish,,99615
Fish,,99654
Fish,,99701
Fish,,99901
Fish,,97060
Fish,,98057
Flan,,99503
Flan,,99504
Flan,,99515
Flan,,99577
Flan,,99611
Flan,,99615
Flan,,99654
Flan,,99701
Flan,,99901
Flan,,97060
Flan,,98057
flour,,99503
flour,,99504
flour,,99515
flour,,99577
flour,,99611
flour,,99615
flour,,99654
flour,,99701
flour,,99901
flour,,97060
flour,,98057
Frankfurter,,99503
Frankfurter,,99504
Frankfurter,,99515
Frankfurter,,99577
Frankfurter,,99611
Frankfurter,,99615
Frankfurter,,99654
Frankfurter,,99701
Frankfurter,,99901
Frankfurter,,97060
Frankfurter,,98057
Fruit juice,,99503
Fruit juice,,99504
Fruit juice,,99515
Fruit juice,,99577
Fruit juice,,99611
Fruit juice,,99615
Fruit juice,,99654
Fruit juice,,99701
Fruit juice,,99901
Fruit juice,,97060
Fruit juice,,98057
garlic,,99503
garlic,,99504
garlic,,99515
garlic,,99577
garlic,,99611
garlic,,99615
garlic,,99654
garlic,,99701
garlic,,99901
garlic,,97060
garlic,,98057
Gelatin,,99503
Gelatin,,99504
Gelatin,,99515
Gelatin,,99577
Gelatin,,99611
Gelatin,,99615
Gelatin,,99654
Gelatin,,99701
Gelatin,,99901
Gelatin,,97060
Gelatin,,98057
gillette,,99503
gillette,,99504
gillette,,99515
gillette,,99577
gillette,,99611
gillette,,99615
gillette,,99654
gillette,,99701
gillette,,99901
gillette,,97060
gillette,,98057
Ginger,,99503
Ginger,,99504
Ginger,,99515
Ginger,,99577
Ginger,,99611
Ginger,,99615
Ginger,,99654
Ginger,,99701
Ginger,,99901
Ginger,,97060
Ginger,,98057
Goat,,99503
Goat,,99504
Goat,,99515
Goat,,99577
Goat,,99611
Goat,,99615
Goat,,99654
Goat,,99701
Goat,,99901
Goat,,97060
Goat,,98057
granola bar,,99503
granola bar,,99504
granola bar,,99515
granola bar,,99577
granola bar,,99611
granola bar,,99615
granola bar,,99654
granola bar,,99701
granola bar,,99901
granola bar,,97060
granola bar,,98057
Grapefruit,,99503
Grapefruit,,99504
Grapefruit,,99515
Grapefruit,,99577
Grapefruit,,99611
Grapefruit,,99615
Grapefruit,,99654
Grapefruit,,99701
Grapefruit,,99901
Grapefruit,,97060
Grapefruit,,98057
grapes,,99503
grapes,,99504
grapes,,99515
grapes,,99577
grapes,,99611
grapes,,99615
grapes,,99654
grapes,,99701
grapes,,99901
grapes,,97060
grapes,,98057
green bean,,99503
green bean,,99504
green bean,,99515
green bean,,99577
green bean,,99611
green bean,,99615
green bean,,99654
green bean,,99701
green bean,,99901
green bean,,97060
green bean,,98057
Greens,,99503
Greens,,99504
Greens,,99515
Greens,,99577
Greens,,99611
Greens,,99615
Greens,,99654
Greens,,99701
Greens,,99901
Greens,,97060
Greens,,98057
ground beef,,99503
ground beef,,99504
ground beef,,99515
ground beef,,99577
ground beef,,99611
ground beef,,99615
ground beef,,99654
ground beef,,99701
ground beef,,99901
ground beef,,97060
ground beef,,98057
Guava,,99503
Guava,,99504
Guava,,99515
Guava,,99577
Guava,,99611
Guava,,99615
Guava,,99654
Guava,,99701
Guava,,99901
Guava,,97060
Guava,,98057
Ham,,99503
Ham,,99504
Ham,,99515
Ham,,99577
Ham,,99611
Ham,,99615
Ham,,99654
Ham,,99701
Ham,,99901
Ham,,97060
Ham,,98057
hazelnut,,99503
hazelnut,,99504
hazelnut,,99515
hazelnut,,99577
hazelnut,,99611
hazelnut,,99615
hazelnut,,99654
hazelnut,,99701
hazelnut,,99901
hazelnut,,97060
hazelnut,,98057
Hominy,,99503
Hominy,,99504
Hominy,,99515
Hominy,,99577
Hominy,,99611
Hominy,,99615
Hominy,,99654
Hominy,,99701
Hominy,,99901
Hominy,,97060
Hominy,,98057
Honey,,99503
Honey,,99504
Honey,,99515
Honey,,99577
Honey,,99611
Honey,,99615
Honey,,99654
Honey,,99701
Honey,,99901
Honey,,97060
Honey,,98057
hot dog,,99503
hot dog,,99504
hot dog,,99515
hot dog,,99577
hot dog,,99611
hot dog,,99615
hot dog,,99654
hot dog,,99701
hot dog,,99901
hot dog,,97060
hot dog,,98057
ice cream,,99503
ice cream,,99504
ice cream,,99515
ice cream,,99577
ice cream,,99611
ice cream,,99615
ice cream,,99654
ice cream,,99701
ice cream,,99901
ice cream,,97060
ice cream,,98057
Ice,,99503
Ice,,99504
Ice,,99515
Ice,,99577
Ice,,99611
Ice,,99615
Ice,,99654
Ice,,99701
Ice,,99901
Ice,,97060
Ice,,98057
Icing,,99503
Icing,,99504
Icing,,99515
Icing,,99577
Icing,,99611
Icing,,99615
Icing,,99654
Icing,,99701
Icing,,99901
Icing,,97060
Icing,,98057
infant formula,,99503
infant formula,,99504
infant formula,,99515
infant formula,,99577
infant formula,,99611
infant formula,,99615
infant formula,,99654
infant formula,,99701
infant formula,,99901
infant formula,,97060
infant formula,,98057
Italian dressing,,99503
Italian dressing,,99504
Italian dressing,,99515
Italian dressing,,99577
Italian dressing,,99611
Italian dressing,,99615
Italian dressing,,99654
Italian dressing,,99701
Italian dressing,,99901
Italian dressing,,97060
Italian dressing,,98057
Jam,,99503
Jam,,99504
Jam,,99515
Jam,,99577
Jam,,99611
Jam,,99615
Jam,,99654
Jam,,99701
Jam,,99901
Jam,,97060
Jam,,98057
Jelly,,99503
Jelly,,99504
Jelly,,99515
Jelly,,99577
Jelly,,99611
Jelly,,99615
Jelly,,99654
Jelly,,99701
Jelly,,99901
Jelly,,97060
Jelly,,98057
jicama,,99503
jicama,,99504
jicama,,99515
jicama,,99577
jicama,,99611
jicama,,99615
jicama,,99654
jicama,,99701
jicama,,99901
jicama,,97060
jicama,,98057
Juice,,99503
Juice,,99504
Juice,,99515
Juice,,99577
Juice,,99611
Juice,,99615
Juice,,99654
Juice,,99701
Juice,,99901
Juice,,97060
Juice,,98057
kale,,99503
kale,,99504
kale,,99515
kale,,99577
kale,,99611
kale,,99615
kale,,99654
kale,,99701
kale,,99901
kale,,97060
kale,,98057
ketchup,,99503
ketchup,,99504
ketchup,,99515
ketchup,,99577
ketchup,,99611
ketchup,,99615
ketchup,,99654
ketchup,,99701
ketchup,,99901
ketchup,,97060
ketchup,,98057
kidney,,99503
kidney,,99504
kidney,,99515
kidney,,99577
kidney,,99611
kidney,,99615
kidney,,99654
kidney,,99701
kidney,,99901
kidney,,97060
kidney,,98057
kiwi,,99503
kiwi,,99504
kiwi,,99515
kiwi,,99577
kiwi,,99611
kiwi,,99615
kiwi,,99654
kiwi,,99701
kiwi,,99901
kiwi,,97060
kiwi,,98057
Lard,,99503
Lard,,99504
Lard,,99515
Lard,,99577
Lard,,99611
Lard,,99615
Lard,,99654
Lard,,99701
Lard,,99901
Lard,,97060
Lard,,98057
lemons,,99503
lemons,,99504
lemons,,99515
lemons,,99577
lemons,,99611
lemons,,99615
lemons,,99654
lemons,,99701
lemons,,99901
lemons,,97060
lemons,,98057
Lentil,,99503
Lentil,,99504
Lentil,,99515
Lentil,,99577
Lentil,,99611
Lentil,,99615
Lentil,,99654
Lentil,,99701
Lentil,,99901
Lentil,,97060
Lentil,,98057
lettuce,,99503
lettuce,,99504
lettuce,,99515
lettuce,,99577
lettuce,,99611
lettuce,,99615
lettuce,,99654
lettuce,,99701
lettuce,,99901
lettuce,,97060
lettuce,,98057
limes,,99503
limes,,99504
limes,,99515
limes,,99577
limes,,99611
limes,,99615
limes,,99654
limes,,99701
limes,,99901
limes,,97060
limes,,98057
Macaroni,,99503
Macaroni,,99504
Macaroni,,99515
Macaroni,,99577
Macaroni,,99611
Macaroni,,99615
Macaroni,,99654
Macaroni,,99701
Macaroni,,99901
Macaroni,,97060
Macaroni,,98057
mangoes,,99503
mangoes,,99504
mangoes,,99515
mangoes,,99577
mangoes,,99611
mangoes,,99615
mangoes,,99654
mangoes,,99701
mangoes,,99901
mangoes,,97060
mangoes,,98057
Margarine,,99503
Margarine,,99504
Margarine,,99515
Margarine,,99577
Margarine,,99611
Margarine,,99615
Margarine,,99654
Margarine,,99701
Margarine,,99901
Margarine,,97060
Margarine,,98057
Marmalade,,99503
Marmalade,,99504
Marmalade,,99515
Marmalade,,99577
Marmalade,,99611
Marmalade,,99615
Marmalade,,99654
Marmalade,,99701
Marmalade,,99901
Marmalade,,97060
Marmalade,,98057
Masa harina,,99503
Masa harina,,99504
Masa harina,,99515
Masa harina,,99577
Masa harina,,99611
Masa harina,,99615
Masa harina,,99654
Masa harina,,99701
Masa harina,,99901
Masa harina,,97060
Masa harina,,98057
mayo,,99503
mayo,,99504
mayo,,99515
mayo,,99577
mayo,,99611
mayo,,99615
mayo,,99654
mayo,,99701
mayo,,99901
mayo,,97060
mayo,,98057
mayonnaise,,99503
mayonnaise,,99504
mayonnaise,,99515
mayonnaise,,99577
mayonnaise,,99611
mayonnaise,,99615
mayonnaise,,99654
mayonnaise,,99701
mayonnaise,,99901
mayonnaise,,97060
mayonnaise,,98057
Melon,,99503
Melon,,99504
Melon,,99515
Melon,,99577
Melon,,99611
Melon,,99615
Melon,,99654
Melon,,99701
Melon,,99901
Melon,,97060
Melon,,98057
milk,,99503
milk,,99504
milk,,99515
milk,,99577
milk,,99611
milk,,99615
milk,,99654
milk,,99701
milk,,99901
milk,,97060
milk,,98057
Mozzarella,,99503
Mozzarella,,99504
Mozzarella,,99515
Mozzarella,,99577
Mozzarella,,99611
Mozzarella,,99615
Mozzarella,,99654
Mozzarella,,99701
Mozzarella,,99901
Mozzarella,,97060
Mozzarella,,98057
Multigrain,,99503
Multigrain,,99504
Multigrain,,99515
Multigrain,,99577
Multigrain,,99611
Multigrain,,99615
Multigrain,,99654
Multigrain,,99701
Multigrain,,99901
Multigrain,,97060
Multigrain,,98057
mushrooms,,99503
mushrooms,,99504
mushrooms,,99515
mushrooms,,99577
mushrooms,,99611
mushrooms,,99615
mushrooms,,99654
mushrooms,,99701
mushrooms,,99901
mushrooms,,97060
mushrooms,,98057
Mustard,,99503
Mustard,,99504
Mustard,,99515
